OBJECTID_1,PROVINCE,CITY,COUNTY,AET,PM2.5,ppt,tem,wind,NOX,SO2,fertilzier,manure
1729,广东省,韶关市,乳源瑶族自治县,41.22605,40.378379,99.996639,11.191597,1.967227,341.0456027,68.4340185,2092.060699,1748.68196
1730,广东省,韶关市,始兴县,45.578641,43.749999,133.699029,12.331068,2.04466,56.39877099,13.13448879,4061.960079,4006.748367
1731,广东省,韶关市,翁源县,52.890179,46.185,134.789286,14.651786,1.973214,227.8597502,86.28108666,11191.7756,3951.330741
1732,广东省,韶关市,武江区,46.208571,21.106667,105.228571,13.297143,1.854286,59.02073229,31.53265604,3392.82215,2308.770911
1733,广东省,韶关市,新丰县,54.423077,46.890909,139.510577,15.052885,2.005769,5.000442366,2.086282085,2624.338006,2652.782983
1734,广东省,韶关市,浈江区,47.983333,46.582609,103.753333,13.896667,1.846667,40.35501916,29.04122514,2021.953493,2544.510253
1735,湖南省,邵阳市,北塔区,29.066667,16.866666,60.0,7.566667,1.8,37.63370164,25.17964218,756.55281,2453.665029
1736,湖南省,邵阳市,城步苗族自治县,24.802985,12.91,50.167164,5.890299,1.969403,19.4373195,2.349933323,2452.893113,6658.850234
1737,湖南省,邵阳市,大祥区,29.007692,17.215385,62.138462,7.5,1.853846,25.70135876,2.351543334,1660.40082,3869.24901
1738,湖南省,邵阳市,洞口县,27.785841,16.629412,52.550442,6.556637,1.89469,33.35768503,3.888558482,17809.04112,33957.81281
1739,湖南省,邵阳市,隆回县,26.907237,14.633334,55.730263,6.349342,2.025,26.34389507,2.872821284,17547.59305,19178.75564
1740,湖南省,邵阳市,邵东县,29.719149,16.438889,69.242553,7.515957,1.955319,23.43804078,2.548501395,16208.0338,18509.12826
1741,湖南省,邵阳市,邵阳县,28.734951,14.615385,60.853398,7.343689,1.878641,27.13339793,11.55193927,17200.24694,18893.29905
1742,湖南省,邵阳市,双清区,29.233333,17.083333,63.233333,7.55,1.816667,11.36258191,1.236752251,1003.061663,3829.923906
1743,湖南省,邵阳市,绥宁县,27.374194,12.844444,48.31871,6.488387,1.863871,23.13568873,3.023098787,4127.463028,12424.36633
1744,湖南省,邵阳市,武冈市,27.94878,13.571429,54.713415,7.019512,1.773171,18.63159365,1.581891573,16061.85544,24373.79676
1745,湖南省,邵阳市,新宁县,26.697917,14.672,57.851389,6.542361,1.952778,14.629967,1.624435333,9101.260901,10171.0232
1746,湖南省,邵阳市,新邵县,29.226596,15.236363,61.668085,6.86383,2.02234,8.824433416,0.88724117,7080.461728,18683.94992
1747,浙江省,绍兴市,上虞区,35.971053,12.78,83.544737,6.869737,3.572368,9.813902076,1.275647844,3882.629682,3205.720378
1748,浙江省,绍兴市,柯桥区,34.741935,13.16,83.480645,6.785484,3.137097,21.72808985,2.199003361,27219.54604,1733.19629
1749,浙江省,绍兴市,新昌县,33.249206,15.4125,81.155556,6.530159,2.873016,17.84552976,1.869605937,9229.274986,627.316715
1750,浙江省,绍兴市,越城区,37.921053,17.192593,88.942105,7.473684,3.410526,8.015080281,0.846377266,3280.07607,563.575201
1751,浙江省,绍兴市,诸暨市,31.66371,32.610345,81.980645,6.737097,2.405645,18.3662253,2.279700884,19956.59494,4698.094297
1752,浙江省,绍兴市,嵊州市,31.778351,24.867391,78.102062,6.578351,2.586598,22.16379582,9.092353698,14193.15665,6417.61938
1753,广东省,深圳市,宝安区,75.945946,29.28,88.697297,18.708108,4.194595,8.337832576,4.825152648,612.368423,1.009786
1754,广东省,深圳市,福田区,74.725,29.13871,75.5,19.275,4.8,39.77824371,19.21464527,0.0,0.0
1755,广东省,深圳市,龙岗区,74.105,30.4325,86.2875,18.22,4.1725,10.81894865,8.760826146,768.301456,253.000709
1756,广东省,深圳市,罗湖区,75.9,33.799999,80.5,18.433333,4.666667,24.85308797,14.45828735,110.64404,0.0
1757,广东省,深圳市,南山区,77.842857,26.282353,81.042857,18.942857,4.871429,45.49729742,21.65448053,710.69302,0.0
1758,广东省,深圳市,盐田区,75.5,23.670588,87.44,17.96,4.68,10.47071472,7.965760083,5.66127,0.0
1759,辽宁省,沈阳市,沈阳市区,0.0,68.25,4.955556,-6.255556,1.477778,8.576485205,5.448886814,0.0,0.0
1760,辽宁省,沈阳市,浑南区,0.0,67.75,4.461017,-6.89322,1.440678,1507.472584,348.0586599,3119.268369,1627.13095
1761,辽宁省,沈阳市,法库县,0.0,64.333333,3.10979,-6.903497,2.023776,91.83337717,25.20951519,18467.16347,29367.08642
1762,辽宁省,沈阳市,康平县,0.0,53.299999,2.75037,-7.225185,2.316296,70.38017756,28.90639462,17910.63555,27460.84767
1763,辽宁省,沈阳市,辽中区,0.0,45.028572,3.093269,-5.925962,1.503846,75.77575759,25.36523527,18110.5813,29921.9079
1764,辽宁省,沈阳市,沈北新区,0.0,52.472728,3.922222,-7.114815,1.544444,118.6470331,34.01066992,4669.414432,14052.27224
1765,辽宁省,沈阳市,苏家屯区,0.0,55.966668,4.062,-6.508,1.468,101.1459432,24.60270319,4731.095488,3877.360539
1766,辽宁省,沈阳市,新民市,0.0,43.096429,2.80197,-6.269458,1.797044,296.1856523,59.14762202,36770.7904,26910.64138
1767,辽宁省,沈阳市,于洪区,0.0,64.549999,3.56,-6.512,1.556,75.65128286,23.14602085,2971.916013,2925.138388
1768,湖北省,省直辖县级行政区划,潜江市,32.534862,63.619999,53.902752,6.416514,2.407339,40.65591041,16.65471036,21340.64949,19748.4395
1769,湖北省,省直辖县级行政区划,神农架林区,1.808475,61.275,41.024859,0.742938,2.423729,81.05407161,25.70219558,2283.615499,863.152838
1770,湖北省,省直辖县级行政区划,天门市,32.596429,67.900002,57.904286,6.218571,2.452857,47.82482318,23.78717556,34202.06586,19539.52076
1771,湖北省,省直辖县级行政区划,仙桃市,33.388148,61.525,63.687407,6.599259,2.384444,482.6968911,81.46907016,29997.35313,17204.88727
1772,海南省,省直辖县级行政区划,白沙黎族自治县,48.813333,57.525,20.811429,21.657143,2.647619,82.01501147,22.19039742,5910.751194,3891.177837
1773,海南省,省直辖县级行政区划,保亭黎族苗族自治县,56.246552,71.100002,30.263793,22.794828,2.772414,94.28741471,25.11007762,4626.511407,3039.278807
1774,海南省,省直辖县级行政区划,昌江黎族自治县,45.050649,61.1875,16.04026,21.981818,3.141558,162.3247918,25.41590221,11767.5576,4550.665168
1775,海南省,省直辖县级行政区划,澄迈县,52.641584,50.655556,29.070297,21.408911,2.974257,85.25168297,27.38656046,22962.14518,16477.55185
1776,海南省,省直辖县级行政区划,定安县,54.96129,65.600001,32.01129,22.043548,2.840323,23.03709642,13.05516688,8512.375497,12182.95074
1777,海南省,省直辖县级行政区划,东方市,45.853571,63.34,15.70625,22.889286,3.284821,100.8063984,29.4444957,16573.94335,5078.562129
1778,海南省,省直辖县级行政区划,乐东黎族自治县,56.035766,62.675,26.087591,22.935036,3.091241,350.3463368,66.66440208,23031.02913,6396.731026
1779,海南省,省直辖县级行政区划,临高县,50.483077,69.533333,25.564615,20.926154,3.315385,119.7390085,31.23592713,14744.34981,4873.772139
1780,海南省,省直辖县级行政区划,陵水黎族自治县,59.042105,31.366667,30.263158,23.614035,3.426316,181.6361122,30.31396967,15164.84725,4011.544905
1781,海南省,省直辖县级行政区划,琼海市,56.998824,31.790909,32.887059,22.818824,3.590588,134.0735597,66.60417273,26339.61877,15688.63094
1782,海南省,省直辖县级行政区划,琼中黎族苗族自治县,53.602985,30.46,29.28806,21.934328,2.583582,77.31801721,39.509579,3205.733632,3289.057325
1783,海南省,省直辖县级行政区划,屯昌县,54.167241,23.682645,30.108621,22.346552,2.505172,58.03461263,28.8873137,5608.086282,6931.272262
1784,海南省,省直辖县级行政区划,万宁市,58.620652,26.875,32.878261,23.302174,3.76087,3.81319985,1.439691858,13131.50513,10597.79965
1785,海南省,省直辖县级行政区划,文昌市,56.592308,27.119231,35.586325,21.480342,4.191453,113.8352429,9.523025563,18064.33916,17125.83044
1786,海南省,省直辖县级行政区划,五指山市,50.894643,20.397368,26.292857,20.798214,2.467857,11.6174525,4.604732187,764.285603,1454.912464
1787,海南省,儋州市,儋州市,48.59172,25.558824,20.787261,21.950318,3.146497,1.823483151,0.650051998,16156.73215,21288.20238
1788,湖北省,十堰市,丹江口市,24.736842,35.033333,25.770175,6.680117,1.862573,58.69565567,4.752055425,8380.728735,10791.39305
1789,湖北省,十堰市,房县,14.967254,28.684615,30.490845,4.982394,1.900704,68.86884379,20.93017155,5341.854392,5884.719621
1790,湖北省,十堰市,茅箭区,22.0,35.514285,25.577419,6.258065,1.854839,57.97214699,17.76056026,365.599493,336.235729
1791,湖北省,十堰市,郧西县,18.5285,34.821053,17.037,6.123,1.6495,42.60209926,13.61456668,8216.208394,5238.880636
1792,湖北省,十堰市,郧阳区,22.223256,35.570589,19.770233,6.807907,1.779535,168.0604637,39.75018603,20691.94829,10517.8677
1793,湖北省,十堰市,张湾区,23.505405,25.745,22.062162,7.027027,1.662162,23.55761339,11.60676646,1122.797246,834.791144
1794,湖北省,十堰市,竹山县,19.195918,35.042857,24.585204,5.442347,1.654082,11.28550479,7.740264851,6973.06706,4644.279175
1795,湖北省,十堰市,竹溪县,13.581081,33.665,26.42973,4.21027,1.75027,40.43886809,10.18429129,21200.52542,4983.264363
1796,河北省,石家庄市,石家庄长安区,0.0,32.0,2.27,1.91,1.84,33.42854032,8.781855948,436.395803,472.603355
1797,河北省,石家庄市,高邑县,0.0,32.275,2.307692,1.707692,1.661538,30.77639462,8.024305677,6267.464381,2825.521452
1798,河北省,石家庄市,晋州市,0.0,34.5,2.288235,1.541176,1.897059,73.77925822,15.09552103,22656.1352,15124.16966
1799,河北省,石家庄市,井陉矿区,0.0,33.590323,1.58,1.84,1.8,168.2085499,36.08165014,195.35365,422.325513
1800,河北省,石家庄市,井陉县,0.0,29.468182,1.647619,1.319048,1.859524,38.55884467,8.900808029,6062.680535,6088.641328
1801,河北省,石家庄市,灵寿县,0.0,34.909091,0.85625,1.365625,1.826563,16.66596132,7.502666002,6836.596109,9274.830131
1802,河北省,石家庄市,鹿泉区,0.0,30.273333,1.720588,1.864706,1.758824,20.20547785,6.060320137,8234.880772,5391.010062
1803,河北省,石家庄市,平山县,0.0,26.681081,0.738217,1.157962,1.940127,37.31919755,15.24628134,8850.439019,5429.56082
1804,河北省,石家庄市,石家庄桥西区,0.76,28.947143,2.98,2.64,1.86,8.669140737,2.974840425,17.33536,31.83986
1805,河北省,石家庄市,深泽县,0.0,37.233334,1.83125,1.3,1.93125,15.52794075,4.857541674,9060.393321,5038.055422
1806,河北省,石家庄市,无极县,0.0,38.754054,1.834483,1.468966,1.893103,265.8882759,65.65854186,19422.26764,16038.55406
1807,河北省,石家庄市,辛集市,0.0,35.690909,2.360714,1.376786,1.957143,122.5188384,24.19282135,42292.16113,23388.61886
1808,河北省,石家庄市,石家庄新华区,0.275,34.271429,2.425,2.2,1.85,224.6617658,29.72268009,23.670497,8.675709
1809,河北省,石家庄市,新乐市,0.0,39.666668,1.235484,1.545161,1.851613,114.4616622,29.33543831,12908.36627,16125.14063
1810,河北省,石家庄市,行唐县,0.0,48.27,0.982456,1.859649,1.721053,488.3482206,88.12843258,19215.76728,13736.49051
1811,河北省,石家庄市,石家庄裕华区,0.171429,49.8,2.428571,2.114286,1.814286,90.48921148,24.93526809,25.337773,35.199443
1812,河北省,石家庄市,元氏县,0.0,45.872727,2.041026,1.792308,1.689744,100.2454782,31.48083074,19983.19198,12106.83889
1813,河北省,石家庄市,赞皇县,0.0,45.645833,2.332,1.706,1.734,51.27100953,8.81894483,5443.760721,8612.750213
1814,河北省,石家庄市,赵县,0.0,46.727273,2.16,1.6875,1.7875,27.81385857,10.40916634,34572.84735,5614.638217
1815,河北省,石家庄市,正定县,0.0,50.568,1.292857,1.592857,1.792857,73.55548002,18.75385398,27542.54619,22528.57934
